iter	Passed	Remaining
0	2	2220
1	3	1981
2	5	1900
3	7	1865
4	9	1848
5	11	1855
6	12	1832
7	14	1819
8	16	1812
9	18	1795
10	20	1798
11	21	1806
12	23	1794
13	25	1800
14	27	1804
15	29	1804
16	31	1797
17	32	1789
18	34	1782
19	36	1785
20	38	1782
21	40	1784
22	42	1786
23	43	1786
24	45	1780
25	47	1773
26	48	1764
27	50	1758
28	52	1750
29	54	1749
30	55	1746
31	57	1739
32	59	1735
33	61	1733
34	62	1732
35	64	1732
36	66	1734
37	68	1737
38	70	1736
39	72	1736
40	74	1739
41	76	1749
42	78	1744
43	80	1741
44	81	1736
45	83	1731
46	85	1725
47	86	1719
48	88	1717
49	90	1711
50	91	1706
51	93	1704
52	95	1702
53	96	1696
54	98	1690
55	100	1687
56	101	1684
57	103	1682
58	105	1675
59	106	1672
60	108	1667
61	109	1662
62	111	1658
63	113	1654
64	114	1651
65	116	1646
66	117	1640
67	119	1636
68	121	1633
69	122	1630
70	124	1626
71	125	1623
72	127	1620
73	129	1616
74	130	1613
75	132	1610
76	134	1606
77	135	1602
78	137	1600
79	139	1599
80	140	1597
81	142	1595
82	144	1593
83	145	1591
84	147	1589
85	149	1587
86	150	1583
87	152	1580
88	154	1579
89	155	1576
90	157	1573
91	158	1569
92	160	1565
93	162	1562
94	163	1559
95	165	1557
96	167	1555
97	168	1553
98	170	1552
99	172	1552
100	174	1551
101	176	1551
102	178	1550
103	179	1549
104	181	1548
105	183	1547
106	185	1547
107	187	1545
108	188	1543
109	190	1541
110	192	1538
111	193	1538
112	195	1536
113	197	1535
114	199	1533
115	200	1531
116	202	1529
117	204	1527
118	206	1526
119	207	1523
120	209	1520
121	210	1518
122	212	1515
123	214	1514
124	215	1511
125	217	1508
126	219	1505
127	220	1502
128	222	1500
129	224	1499
130	225	1496
131	227	1495
132	229	1494
133	230	1492
134	232	1491
135	234	1489
136	236	1487
137	237	1485
138	239	1483
139	241	1483
140	243	1483
141	245	1483
142	247	1483
143	249	1482
144	251	1481
145	253	1480
146	254	1478
147	256	1477
148	258	1476
149	260	1475
150	262	1473
151	263	1472
152	265	1472
153	267	1471
154	269	1471
155	271	1469
156	273	1468
157	275	1467
158	277	1466
159	279	1465
160	281	1465
161	283	1465
162	285	1464
163	287	1463
164	288	1462
165	290	1461
166	292	1460
167	294	1460
168	296	1459
169	298	1458
170	300	1457
171	302	1456
172	304	1456
173	306	1456
174	308	1456
175	310	1454
176	312	1453
177	314	1452
178	316	1451
179	318	1451
180	320	1450
181	322	1449
182	324	1448
183	326	1447
184	328	1446
185	330	1445
186	332	1444
187	334	1445
188	336	1443
189	338	1442
190	340	1441
191	342	1440
192	344	1439
193	346	1438
194	347	1436
195	349	1435
196	351	1434
197	353	1432
198	355	1430
199	357	1429
200	359	1428
201	361	1427
202	363	1425
203	364	1424
204	366	1422
205	368	1421
206	370	1420
207	372	1419
208	374	1418
209	376	1417
210	378	1416
211	380	1415
212	382	1413
213	384	1412
214	386	1410
215	388	1408
216	390	1407
217	392	1406
218	394	1405
219	395	1403
220	397	1401
221	399	1400
222	401	1398
223	403	1397
224	405	1395
225	406	1393
226	408	1391
227	410	1390
228	412	1389
229	414	1387
230	416	1385
231	418	1384
232	420	1382
233	422	1381
234	423	1380
235	425	1378
236	427	1377
237	429	1375
238	431	1373
239	433	1372
240	435	1371
241	437	1369
242	439	1367
243	441	1366
244	442	1365
245	444	1362
246	446	1361
247	448	1359
248	450	1358
249	452	1356
250	454	1355
251	455	1353
252	457	1351
253	459	1349
254	461	1347
255	463	1347
256	465	1346
257	467	1344
258	469	1342
259	471	1340
260	472	1339
261	474	1337
262	476	1335
263	478	1334
264	480	1333
